%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
213400000000,3139,213336000000,map,1.9317984186093646,-5.956334872914565,0.09505385234713343
213472000000,3140,213404000000,map,1.8694625240635054,-5.9843135920633355,0.07945644573832905
213520000000,3141,213468000000,map,1.9012718919076503,-5.951151817636497,0.10012380616200584
213608000000,3142,213536000000,map,1.83789442471256,-5.97889730430135,0.08088080516512808
213720000000,3143,213604000000,map,1.8196417882505398,-5.976298430978355,0.0820644821842404
213756000000,3144,213668000000,map,1.8037757341767786,-5.9764202963903355,0.08248003691745487
213808000000,3145,213736000000,map,1.7853651346715997,-5.9735010627611125,0.08507994577759453
213912000000,3146,213804000000,map,1.7673057485182841,-5.970863876053802,0.08948749939137823
213980000000,3147,213868000000,map,1.7518528610806245,-5.967433219757731,0.09168511829420761
214012000000,3148,213936000000,map,1.684543339634366,-5.996123170657879,0.0734085627443476
214092000000,3149,214004000000,map,1.719842130709612,-5.9632901520935295,0.09590524249005095
214120000000,3150,214068000000,map,1.702878919204183,-5.961782674945699,0.09639893368328817
214220000000,3151,214136000000,map,1.6322167671926275,-5.990014266012472,0.07823990989783197
214280000000,3152,214204000000,map,1.6142357357344657,-5.987150128712051,0.0798789933422106
214368000000,3153,214268000000,map,1.6508268305929592,-5.957924847464227,0.10109153238524982
214420000000,3154,214336000000,map,1.6338857121568375,-5.95826484409074,0.10051610379882842
214496000000,3155,214404000000,map,1.5601696215032133,-5.983494245186312,0.0840866777680267
214544000000,3156,214468000000,map,1.543615920344449,-5.983763167548721,0.0847652813709226
214644000000,3157,214536000000,map,1.5809051381633106,-5.956661978112649,0.10531079248326908
214668000000,3158,214604000000,map,1.5060494710706913,-5.981833233582116,0.0827285456397816
214712000000,3159,214668000000,map,1.4871488312664591,-5.983669606519261,0.08606561394459045
214828000000,3160,214736000000,map,1.4682306130206804,-5.9822376732212685,0.08651019236684704
214828000000,3161,214804000000,map,1.4516246070461818,-5.981976217800557,0.08766309981558296
214952000000,3162,214868000000,map,1.4312624497707158,-5.981435533661081,0.08894226249983161
215008000000,3163,214936000000,map,1.4160332649299874,-5.982309233078656,0.0924620115015537
215092000000,3164,215004000000,map,1.396882575102247,-5.980479473111192,0.09308219124537848
215156000000,3165,215068000000,map,1.3803693523952758,-5.978989189554938,0.09460658316806242
215176000000,3166,215136000000,map,1.3629924850626032,-5.979244890244194,0.09482866934310308
215276000000,3167,215204000000,map,1.3430660341320042,-5.979359989257536,0.09370402283409585
215308000000,3168,215268000000,map,1.324624674182395,-5.978617815348748,0.0919178195580021
215408000000,3169,215336000000,map,1.3043363001377062,-5.978660340451154,0.09254661667428582
215476000000,3170,215404000000,map,1.2834296724531788,-5.978393629832264,0.09268799673265876
215524000000,3171,215468000000,map,1.2641866381684197,-5.9788281348139805,0.09356950589930413
215616000000,3172,215536000000,map,1.1848218254213834,-6.002662686512488,0.07349172243267865
215672000000,3173,215604000000,map,1.2279489197723057,-5.9794317551106815,0.09387346717227968
215740000000,3174,215668000000,map,1.211049615822594,-5.979178250964921,0.09519282404637625
215792000000,3175,215736000000,map,1.193485614763161,-5.980290766319865,0.09592141702359391
215868000000,3176,215804000000,map,1.1737903910668088,-5.977360190903084,0.09655783457801181
215944000000,3177,215868000000,map,1.1578630551272615,-5.978502159814084,0.09613610363103098
216008000000,3178,215936000000,map,1.1391252254111348,-5.977618239131208,0.09374087515647905
216040000000,3179,216004000000,map,1.054267505685695,-5.997358697488951,0.07142852839443753
216164000000,3180,216068000000,map,1.097799786566732,-5.978558769299446,0.09132215434205532
216196000000,3181,216136000000,map,1.077627767016844,-5.978418656258028,0.09044314311434931
216284000000,3182,216204000000,map,0.9956556431433292,-5.997008828776313,0.07240136886080384
216360000000,3183,216268000000,map,0.9742098798076626,-5.994533142188063,0.07166781661622895
216436000000,3184,216336000000,map,1.0235334894301846,-5.977298341668138,0.0928627045294072
216480000000,3185,216404000000,map,1.0035977256133104,-5.97635899100183,0.08899441977081107
216548000000,3186,216468000000,map,0.9194045274592266,-5.995774757447913,0.06671098607234238
216604000000,3187,216536000000,map,0.899737263234557,-5.995640871565916,0.06608329308225325
216680000000,3188,216604000000,map,0.876330304711713,-5.994667502713242,0.064724676709837
216752000000,3189,216668000000,map,0.8563744230091419,-5.995203133760357,0.06543336003908878
216808000000,3190,216736000000,map,0.9013417053727155,-5.9788137806103485,0.08642860203928637
216872000000,3191,216804000000,map,0.879890610923147,-5.977783248180086,0.08747005665275714
216940000000,3192,216868000000,map,0.7962060639477111,-5.9940544315560915,0.06689941276619249
217012000000,3193,216936000000,map,0.777804355759963,-5.992927353471536,0.06489001898139735
217064000000,3194,217004000000,map,0.8192978683350738,-5.978002395650907,0.08239136981956657
217136000000,3195,217068000000,map,0.7983112234663174,-5.978288229922989,0.08078190947561287
217208000000,3196,217136000000,map,0.7752745826977423,-5.978172662151589,0.08131633526357673
217300000000,3197,217204000000,map,0.6863961949820216,-5.992639015231996,0.05981241221850886
217312000000,3198,217268000000,map,0.7328119829566286,-5.980107075102184,0.07963177705619662
217416000000,3199,217336000000,map,0.7107251392291283,-5.979725039382117,0.07684542918511211
217468000000,3200,217404000000,map,0.68757421894499,-5.979396239475865,0.0740018121798755
217548000000,3201,217468000000,map,0.666623063637968,-5.979687263648493,0.07313671396454402
217616000000,3202,217536000000,map,0.6435875934270969,-5.979485745558058,0.0734108650087838
217680000000,3203,217604000000,map,0.6227537860554886,-5.978634793922198,0.07296532072559259
217732000000,3204,217668000000,map,0.604317719409083,-5.978207205785593,0.07291081823240303
217804000000,3205,217736000000,map,0.6449937842133628,-5.968284326632792,0.0931985823337983
217868000000,3206,217804000000,map,0.6248372452603315,-5.967240176435668,0.09169024144654603
217912000000,3207,217868000000,map,0.5463085906428133,-5.978521021672001,0.07072931571901842
218012000000,3208,217936000000,map,0.5265820683807478,-5.977976750402704,0.06831096338545584
218120000000,3209,218004000000,map,0.5042002102300387,-5.97698390435417,0.06394388428557879
218144000000,3210,218068000000,map,0.482205103195946,-5.976862841402586,0.06579723729665365
218208000000,3211,218136000000,map,0.5231443186815452,-5.966290770712696,0.08792916783956634
218268000000,3212,218204000000,map,0.5034986916093975,-5.965452687287384,0.08641655334916942
218332000000,3213,218268000000,map,0.484736941014565,-5.965417036556767,0.08804921523307624
218392000000,3214,218336000000,map,0.46646476488935207,-5.964923303215289,0.08719874877875172
218464000000,3215,218404000000,map,0.44576538148082645,-5.963713196793577,0.08330231514943143
218564000000,3216,218468000000,map,0.4243048565677159,-5.96350780772594,0.08136103902465391
218612000000,3217,218536000000,map,0.4038746140116669,-5.962910600651531,0.08051659932362698
218692000000,3218,218604000000,map,0.38353379147683486,-5.961515412354952,0.07846357625134431
218744000000,3219,218668000000,map,0.36386081346137256,-5.958129086020236,0.07971645840984731
218812000000,3220,218736000000,map,0.34591327291344265,-5.957409574795465,0.07942463358349905
218836000000,3221,218804000000,map,0.3280929235136001,-5.955904275564749,0.07932942523682379
218976000000,3222,218868000000,map,0.3133706837002186,-5.954675539328263,0.08129385375359349
219024000000,3223,218936000000,map,0.2990080222375924,-5.952901253964666,0.08273550542179703
219088000000,3224,219004000000,map,0.2823708026484144,-5.94946318149258,0.08079960399173258
219172000000,3225,219068000000,map,0.2674484504447918,-5.947135836155811,0.0800319081061282
219224000000,3226,219136000000,map,0.25003250195147575,-5.9439229678313295,0.07879133263853222
219276000000,3227,219204000000,map,0.23276226319574111,-5.940718303039929,0.07733185938715731
219364000000,3228,219268000000,map,0.21457324083935525,-5.9381823079407425,0.07643981205000067
219400000000,3229,219336000000,map,0.2535835570327045,-5.931237233530282,0.09596463134084521
219472000000,3230,219404000000,map,0.23593672465201898,-5.9262445627715765,0.09606239388433008
219556000000,3231,219468000000,map,0.1658381196379457,-5.925564507210125,0.07570841927825128
219616000000,3232,219536000000,map,0.2051160488125603,-5.919350510152293,0.09377522128456356
219668000000,3233,219604000000,map,0.19038744963059306,-5.913922334628769,0.09109352532685827
219732000000,3234,219668000000,map,0.1758737348942676,-5.911853260775079,0.09114937612080604
219792000000,3235,219736000000,map,0.16150129328395857,-5.907995142471926,0.09123985372516247
219908000000,3236,219804000000,map,0.14678714344644161,-5.902762979017009,0.08831698548772127
219928000000,3237,219868000000,map,0.13226605419529935,-5.89838823125497,0.08622419324707453
